Strategy,ROC-AUC,PR-AUC,F2
No resampling,0.7969784896157476,0.24839534426387924,0.3913373860182371
SMOTE,0.7990660561273066,0.24620553052167124,0.39264828738512947
Class weights,0.8045642076108594,0.23820797109078815,0.39545454545454545
