Model,ROC-AUC,PR-AUC,F2
SVM (RBF),"0.7279 [0.7054, 0.7496]","0.1593 [0.1330, 0.1878]","0.3032 [0.2765, 0.3296]"
Logistic Regression,"0.7287 [0.7065, 0.7499]","0.1903 [0.1605, 0.2208]","0.3077 [0.2818, 0.3328]"
Random Forest,"0.7243 [0.7011, 0.7453]","0.1484 [0.1231, 0.1738]","0.2890 [0.2613, 0.3158]"
Gradient Boosting,"0.7153 [0.6934, 0.7372]","0.1094 [0.0944, 0.1253]","0.2863 [0.2613, 0.3116]"
XGBoost,"0.7201 [0.6982, 0.7415]","0.1157 [0.0988, 0.1352]","0.2741 [0.2467, 0.3019]"
LightGBM,"0.7251 [0.7035, 0.7449]","0.1604 [0.1338, 0.1883]","0.2673 [0.2381, 0.2969]"
