Model,ROC-AUC,PR-AUC,F2,F1,Accuracy,Precision,Recall,Threshold,P@1%,R@1%,Lift@1%,P@5%,R@5%,Lift@5%,P@10%,R@10%,Lift@10%
Logistic Regression,0.7285303733356584,0.188893384212443,0.3078534031413613,0.203601108033241,0.8550998550998551,0.1301460823373174,0.46740858505564387,0.060000000000000005,0.4177215189873418,0.10492845786963434,10.54132539091586,0.2509457755359395,0.3163751987281399,6.332690453230474,0.1581600504095778,0.3990461049284579,3.9912153897475817
LightGBM,0.724969953515032,0.15851854909526678,0.2674645823155838,0.19845944721341188,0.8885528885528885,0.13878326996197718,0.3481717011128776,0.13,0.41139240506329117,0.10333863275039745,10.381608339538348,0.201765447667087,0.2543720190779014,5.091610414657667,0.13862633900441085,0.3497615262321145,3.4982764372289563
SVM (RBF),0.7282667235126834,0.15749448557676657,0.30334084853453575,0.19786096256684493,0.8487998487998488,0.1252644942869234,0.47058823529411764,0.08,0.3291139240506329,0.08267090620031796,8.305286671630677,0.21437578814627994,0.2702702702702703,5.409836065573771,0.1600504095778198,0.40381558028616854,4.038919159346158
Random Forest,0.7245712457328986,0.14691507098286363,0.28897692845490563,0.20632279534109818,0.8797958797958798,0.13971830985915493,0.3942766295707472,0.06999999999999999,0.310126582278481,0.07790143084260731,7.826135517498138,0.2005044136191677,0.2527821939586645,5.059787849566056,0.14429741650913674,0.3640699523052464,3.6413877460246864
XGBoost,0.7199872013028974,0.11422102530401407,0.27409372236958446,0.18809252938945772,0.8651168651168651,0.12350597609561753,0.3942766295707472,0.11,0.18354430379746836,0.046104928457869634,4.631794489947878,0.1677175283732661,0.21144674085850557,4.232401157184186,0.13610586011342155,0.34340222575516693,3.4346714110975203
Gradient Boosting,0.7152472405416668,0.10818413402739244,0.2871784954554245,0.18087697929354446,0.8305298305298305,0.11186440677966102,0.47217806041335453,0.08,0.17088607594936708,0.04292527821939587,4.312360387192852,0.1664564943253468,0.20985691573926868,4.200578592092575,0.14114681789540012,0.356120826709062,3.5618814633603915
