Strategy,ROC-AUC,PR-AUC,F2
No resampling,0.7968177490551339,0.25238606086701165,0.3925233644859813
SMOTE,0.7981634360561686,0.2507660871696962,0.40734109221128023
Class weights,0.8062787735907381,0.24288225766448293,0.41417591801878734
