VoLL,Effectiveness,DiscountRate,k_star,NPV_star
3575.2728319488947,0.8827199617838444,0.05933736749301918,11494,5580633755.114769
4202.948099826744,0.7981417167433419,0.11013962436640184,10276,4191961403.1139593
6330.451065490129,0.862348663685021,0.05203096770970523,12526,8149751167.642302
6668.741481401415,0.8184850055293017,0.10614329830400665,11770,6322236663.146784
4272.105629299396,0.7170654809953455,0.11066540486294402,9400,3501189577.0807276
4105.144979421857,0.8214968344141779,0.0721267529712746,11103,5117048702.081834
3383.3134999822364,0.9529674082689114,0.1094257403421403,11015,4936847043.07662
7857.325457176939,0.8156130743185415,0.11681416875760656,12017,6918642385.549686
5228.791804198594,0.9009173955165423,0.05577500347880088,12333,7469484928.609507
7485.492899907672,0.7894010502066288,0.0683613375817467,12295,7635745800.693125
3025.6477453222847,0.8629607545841218,0.08329174569050772,10519,4380594061.682846
6181.868387857613,0.9934612402246019,0.11360639304817614,12399,7774047463.109461
7550.765378900783,0.8575767013321436,0.057281326489833403,12759,9057916901.972588
3904.572976289505,0.9859120662960225,0.0788367088370451,11987,6454465450.002989
7325.085603035908,0.9016531838428528,0.09401500571175128,12526,8261516001.182842
4377.793883244761,0.9690241809222588,0.06448239599403557,12264,7154983462.24877
5022.026215377038,0.998071747718231,0.10150089570549845,12206,7067160800.193886
5225.3070624484135,0.8681989508331205,0.07878788423606446,11885,6420862613.90711
6634.939959839942,0.8197590657712224,0.09691016152916673,11883,6546300541.082848
6523.578039402708,0.8828679613777137,0.08780241249271592,12287,7492755208.236261
4030.409254566509,0.7597484429868105,0.1057017205371231,9824,3806113792.7270193
4451.663888853783,0.8967888483471561,0.07097317430649173,11846,6248420527.797245
3722.391892114144,0.8211870000941408,0.07171886687912128,10893,4806978535.381502
4216.9900814048115,0.8764312127975128,0.06717402770743519,11663,5910158503.925537
6738.853058964316,0.9160439943562668,0.0986682606868565,12381,7784019217.90992
3513.7138928660584,0.9830927284552873,0.08523377430249474,11687,5877319764.616734
7498.368096837064,0.7595739653308942,0.09161144307729015,11869,6575593555.764389
7827.042908386316,0.9996094737690061,0.051691803748638125,13298,11748115249.179903
5406.516667276583,0.7874268069020823,0.05446043978221202,11805,6259430284.320616
5848.121994715295,0.7015249854097642,0.09278943127690151,10673,4673994934.256027
7350.907385172947,0.9650804394921668,0.11680236382372268,12562,8408656056.0343895
6699.319099017371,0.7554138872647266,0.08042748247607637,11709,6210556303.520807
7429.497477739367,0.7765138841004389,0.08103188863102888,12077,7039270597.039623
