Model,ROC-AUC,PR-AUC,F2,F1,Accuracy,Precision,Recall,Threshold,P@1%,R@1%,Lift@1%,P@5%,R@5%,Lift@5%,P@10%,R@10%,Lift@10%
Logistic Regression,0.726772846904972,0.15309998958275486,0.28226477935054123,0.16464303059737737,0.7832797832797833,0.09716251074806535,0.5389507154213037,0.05,0.33544303797468356,0.08426073131955485,8.465003723008191,0.2257250945775536,0.2845786963434022,5.696239151398265,0.15626969124133586,0.3942766295707472,3.943511620149005
SVM (RBF),0.7254072492854965,0.14035228537503733,0.2942282383906749,0.18240093240093241,0.8232218232218232,0.11166607206564395,0.49761526232114467,0.06999999999999999,0.3037974683544304,0.07631160572337042,7.666418466120626,0.2030264817150063,0.2559618441971383,5.1234329797492775,0.15879017013232513,0.40063593004769477,4.007116646280441
XGBoost,0.7310915728422327,0.1329432912037096,0.2901836318295171,0.20285261489698891,0.8732438732438732,0.13509234828496042,0.4069952305246423,0.12,0.27848101265822783,0.06995230524642289,7.027550260610574,0.19419924337957126,0.24483306836248012,4.900675024108004,0.14429741650913674,0.3640699523052464,3.6413877460246864
Random Forest,0.732066128131311,0.12882388853818186,0.302066772655008,0.21144674085850557,0.875007875007875,0.14096449390567037,0.42289348171701113,0.09,0.17721518987341772,0.04451510333863275,4.472077438570365,0.20933165195460277,0.26391096979332274,5.282545805207329,0.15879017013232513,0.40063593004769477,4.007116646280441
LightGBM,0.7281062704855288,0.11426292226626922,0.2737467018469657,0.1871476888387824,0.8637308637308637,0.12253937007874016,0.3958664546899841,0.11,0.17088607594936708,0.04292527821939587,4.312360387192852,0.17780580075662042,0.22416534181240064,4.486981677917068,0.13862633900441085,0.3497615262321145,3.4982764372289563
Gradient Boosting,0.7060088068218557,0.09512132412388304,0.2678958785249458,0.18141755416819685,0.8595728595728596,0.11795606494746896,0.39268680445151033,0.09,0.08227848101265822,0.02066772655007949,2.0763216679076693,0.1450189155107188,0.18282988871224165,3.659594985535198,0.1285444234404537,0.32432432432432434,3.243856332703214
