Inspection_Policy,k,NPV_COP,ROI,Avoided_EPV_COP,Program_Cost_COP,Failures_Detected,Recall,EENS_Prevented_kWh,Cost_per_Avoided_Failure_COP
Top-k by NPV,11666,5988168858.290369,1.7110031596920878,9487968858.290369,3499800000,535,0.8505564387917329,197129.196,6541682.242990654
Top-k by probability,11666,5448772855.469503,1.5568812090603759,8948572855.469503,3499800000,577,0.9173290937996821,183279.096,6065511.265164644
Random k,11666,3994591538.350686,1.1413770896481759,7494391538.350686,3499800000,451,0.7170111287758346,164877.47999999998,7760088.6917960085
Inspect all,15873,5382384522.12281,1.13030187994767,10144284522.12281,4761900000,629,1.0,228385.296,7570588.235294118
